ube2d3,"{1904: ([47], 0.0078125)}"
ube3a,"{2316: ([57], 0.0078125)}"
ubl5,"{1923: ([52], 0.0078125)}"
uchl1,"{1950: ([42], 0.0078125), 2796: ([62], 0.0078125)}"
unc50,"{2234: ([62], 0.0078125), 2316: ([87], 0.0078125)}"
unconstrainedoptpdf,"{2019: ([8, 20], 0.07407407407407407)}"
u2af2,"{2384: ([82], 0.0078125), 2478: ([52], 0.0078125)}"
ubc,"{2753: ([72], 0.0078125), 35851: ([4, 9, 14], 0.2)}"
usp19,"{2592: ([77], 0.0078125)}"
ube2f,"{2900: ([72], 0.0078125)}"
